concept1	concept2	families	languages	varieties	n_varieties_here	likely_homophone	alternatives_only	segments	forms
HE	SHE	226	1395	1946	1	False	True	e ʎ a | e ʎ o | ɛ l	ella,ello,él | ella,ello,él
HE	IT	225	713	958	1	False	True	e ʎ a | e ʎ o | ɛ l	ella,ello,él | ella,ello,él
IT	SHE	225	711	954	1	False	True	e ʎ a | e ʎ o | ɛ l	ella,ello,él | ella,ello,él
HIDE (CONCEAL)	HIDE (ONESELF)	215	1072	1275	1	None	False	e s k o n d e ɾ	eskondeɾ | eskondeɾ
FLESH	MEAT	105	1159	1560	1	False	False	k a ɾ n e	carne | carne
BELOW OR UNDER	DOWN	60	194	234	1	False	True	a β a x o | b a x o | d e β a x o	abajo,bajo,debajo | abajo,bajo,debajo
WIFE	WOMAN	59	275	379	1	None	False	m u x e ɾ	m.u.x.e.ɾ | m.u.x.e.ɾ
MALE PERSON	PERSON	55	181	216	2	None	False	o m b ɾ e	o.m.b.ɾ.e,ombɾe | o.m.b.ɾ.e,ombɾe
SON-IN-LAW (OF MAN)	SON-IN-LAW (OF WOMAN)	52	306	429	1	False	False	ɟ ʝ ɛ ɾ n o	yerno | yerno
DAUGHTER-IN-LAW (OF MAN)	DAUGHTER-IN-LAW (OF WOMAN)	50	161	194	1	False	False	n w ɛ ɾ a	nuera | nuera
LEATHER	SKIN	45	168	206	1	False	True	p j ɛ l	piel | piel
FATHER-IN-LAW (OF MAN)	FATHER-IN-LAW (OF WOMAN)	43	124	148	1	False	False	s w e ɣ ɾ o	suegro | suegro
DISH	PLATE	43	108	123	1	None	False	p l a t o	plato | plato
POINTED	SHARP	42	110	132	1	None	True	a ɣ u ð o	aɣuðo | aɣuðo
MOTHER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF WOMAN)	41	122	147	1	False	False	s w e ɣ ɾ a	suegra | suegra
FOOD	MEAL	40	86	97	1	False	False	k o m i ð a	comida | comida
HIGH	TALL	38	132	143	1	None	False	a l t o	alto | alto
THAT	THIS	38	74	77	1	None	False	e s t o	esto | esto
GO	WALK	36	177	235	1	None	False	a n d a ɾ	andaɾ | andaɾ
CATCH	SEIZE	36	121	153	2	False	False	k o x e ɾ | k o x ɛ ɾ	coger,koxeɾ | coger,koxeɾ
BEFORE	IN FRONT OF	34	95	132	1	None	True	d e l a n t e	delante | delante
HEAVEN	SKY	34	84	88	1	False	False	θ j e l o	cielo | cielo
FUR	SKIN	33	94	107	2	False	False	p j e l | p j ɛ l	piel,pjel | piel,pjel
BABY	CHILD (YOUNG HUMAN)	33	90	101	1	None	False	n i ɲ o	niɲo | niɲo
EARTH (SOIL)	FLOOR	32	45	45	1	False	False	s w e l o	suelo | suelo
FUR	LEATHER	30	75	81	1	False	False	p j ɛ l	piel | piel
SEIZE	TAKE	30	55	60	1	False	True	k o x ɛ ɾ	coger | coger
SHOVEL	SPADE	29	93	107	1	None	False	p a l a	pala | pala
HAVE	OWN	29	78	83	1	False	False	t e n ɛ ɾ	tener | tener
FIND	MEET	29	46	52	2	False	False	e n k o n t ɾ a ɾ | e ŋ k o n t ɾ a ɾ	encontrar,eŋkontɾaɾ | encontrar,eŋkontɾaɾ
BE ALIVE	DWELL (LIVE, RESIDE)	28	98	123	2	False	True	b i β i ɾ	biβiɾ,vivir | biβiɾ,vivir
CATCH	TAKE	28	54	56	1	False	False	k o x ɛ ɾ	coger | coger
GO UP (ASCEND)	RISE (MOVE UPWARDS)	27	60	64	1	False	False	s u β i ɾ	subir | subir
BELOW OR UNDER	LOW	27	53	63	1	False	False	b a x o	bajo | bajo
CHILD (DESCENDANT)	SON	27	42	42	1	False	False	i x o	hijo | hijo
PLANT (SOMETHING)	SOW SEEDS	26	48	51	1	False	True	s e m b ɾ a ɾ	sembrar | sembrar
KEEP	PRESERVE	25	95	123	1	False	True	k o n s ɛ ɾ β a ɾ	conservar | conservar
BREAST	CHEST	25	66	71	1	False	False	p e tʃ o	pet͡ʃo | pet͡ʃo
SIBLING	YOUNGER BROTHER (OF WOMAN)	24	66	81	1	False	True	ɛ ɾ m a n o	hermano | hermano
SMOOTH	SOFT	24	37	46	1	False	False	s w a β e	suave | suave
OLDER BROTHER (OF MAN)	SIBLING	23	65	80	1	False	True	ɛ ɾ m a n o	hermano | hermano
OLDER BROTHER (OF WOMAN)	SIBLING	23	65	80	1	False	True	ɛ ɾ m a n o	hermano | hermano
SIBLING	YOUNGER BROTHER (OF MAN)	23	65	80	1	False	True	ɛ ɾ m a n o	hermano | hermano
SHOOT	THROW	23	55	69	1	False	True	t i ɾ a ɾ	tirar | tirar
GATHER	PICK UP	23	47	52	2	False	False	r e k o x ɛ ɾ | ɾ e k o x e ɾ	recoger,ɾekoxeɾ | recoger,ɾekoxeɾ
LOVE	WANT	23	37	39	1	None	False	k e ɾ e ɾ	keɾeɾ | keɾeɾ
LOW	SHALLOW	23	30	33	1	False	False	b a x o	bajo | bajo
CHOP (INTO PIECES)	CUT	22	94	108	1	None	False	k o ɾ t a ɾ	koɾtaɾ | koɾtaɾ
KILL	MURDER	22	41	41	1	False	False	m a t a ɾ	matar | matar
FLEE	RETREAT	22	31	31	1	False	False	w i ɾ	huir | huir
CEASE	FINISH	21	57	58	2	False	True	a k a β a ɾ | t e ɾ m i n a ɾ | t ɛ ɾ m i n a ɾ	akaβaɾ,terminar,teɾminaɾ | akaβaɾ,terminar,teɾminaɾ
BIRD	FOWL	21	36	37	1	False	False	a β e	ave | ave
FAMINE	HUNGER	20	70	79	1	False	False	a m b ɾ e	hambre | hambre
SIBLING	YOUNGER SISTER (OF MAN)	20	59	73	1	False	True	ɛ ɾ m a n a	hermana | hermana
CATTLE	LIVESTOCK	19	59	64	1	False	False	g a n a ð o	ganado | ganado
SIBLING	YOUNGER SISTER (OF WOMAN)	19	58	72	1	False	True	ɛ ɾ m a n a	hermana | hermana
OLDER SISTER (OF MAN)	SIBLING	19	57	71	1	False	True	ɛ ɾ m a n a	hermana | hermana
